tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
006,1387790336,    5293, 1543.604004,   20.000000, 9657.550781, 8790.416992, 1252.310303,    3.829810, 8404.486328, 8786.684570, 8072.478027, 8443.269531,      5293,         1048576,000,000,000128
007,1384382464,    5280, 1539.578247,   20.000000, 9653.690430, 8796.965820, 1278.299561,    3.898604, 8376.002930, 8793.601562, 8048.775879, 8456.166016,      5281,         1048576,000,000,000128
008,1367605248,    5216, 1725.656738,   20.000000, 9579.584961, 8683.925781, 1243.080688,    4.106927, 8337.191406, 8679.351562, 7984.495605, 8319.757812,      5217,         1048576,000,000,000128
009,1378353152,    5257, 1748.002563,   20.000000, 9482.900391, 8759.389648, 1102.517700,    3.546201, 8381.281250, 8755.747070, 8040.689453, 8405.975586,      5258,         1048576,000,000,000128
010,1379401728,    5261, 1745.664917,   20.000000, 9479.457031, 8764.750000, 1109.179321,    3.649560, 8369.498047, 8761.634766, 8027.829102, 8404.115234,      5261,         1048576,000,000,000128
011,1377828864,    5255, 1749.121826,   20.000000, 9484.182617, 8755.850586, 1120.848999,    3.819105, 8363.797852, 8752.581055, 8028.048340, 8403.467773,      5256,         1048576,000,000,000128
012,1376256000,    5249, 1746.140625,   20.000000, 9524.724609, 8720.776367, 1159.608154,    3.820455, 8364.297852, 8717.419922, 8024.480469, 8370.359375,      5249,         1048576,000,000,000128
013,1374683136,    5243, 1738.959351,   20.000000, 9539.063477, 8713.308594, 1195.833740,    3.795241, 8342.477539, 8709.690430, 7995.040527, 8352.686523,      5243,         1048576,000,000,000128
014,1383071744,    5275, 1750.307129,   20.000000, 9454.059570, 8785.139648, 1077.811157,    3.560275, 8376.746094, 8782.031250, 8047.225098, 8440.603516,      5276,         1048576,000,000,000128
015,1375469568,    5246, 1738.883057,   20.000000, 9503.073242, 8748.625977, 1146.362061,    3.608190, 8355.931641, 8744.791992, 8012.023438, 8393.348633,      5246,         1048576,000,000,000128
000,1387266048,    5291, 1543.049805,   20.000000, 9698.786133, 8750.908203, 1218.469604,    3.948400, 8479.631836, 8747.130859, 8146.627441, 8401.436523,      5291,         1048576,000,001,000128
001,1395130368,    5321, 1553.223877,   20.000000, 9637.421875, 8802.222656, 1120.225708,    3.616890, 8516.470703, 8799.049805, 8182.657715, 8445.764648,      5321,         1048576,000,001,000128
002,1382285312,    5272, 1538.791138,   20.000000, 9731.390625, 8720.005859, 1299.325195,    3.637195, 8431.309570, 8715.896484, 8107.061523, 8373.169922,      5272,         1048576,000,001,000128
003,1386741760,    5289, 1618.608887,   20.000000, 9581.069336, 8791.779297, 1099.163086,    4.248308, 8480.669922, 8787.530273, 8149.517578, 8440.185547,      5289,         1048576,000,001,000128
004,1389101056,    5298, 1544.197144,   20.000000, 9681.724609, 8766.634766, 1203.253174,    4.076250, 8477.720703, 8762.871094, 8144.627930, 8419.172852,      5298,         1048576,000,001,000128
005,1393295360,    5314, 1549.710205,   20.000000, 9639.589844, 8803.188477, 1126.029297,    3.684406, 8512.880859, 8799.625000, 8184.371094, 8455.594727,      5314,         1048576,000,001,000128
006,1392246784,    5310, 1547.626343,   20.000000, 9639.994141, 8805.720703, 1151.211792,    3.703443, 8487.979492, 8802.643555, 8160.958984, 8459.244141,      5310,         1048576,000,001,000128
007,1394606080,    5319, 1551.008545,   20.000000, 9654.360352, 8788.011719, 1150.643555,    3.594473, 8503.020508, 8784.928711, 8172.831543, 8444.271484,      5319,         1048576,000,001,000128
008,1367867392,    5217, 1735.154297,   20.000000, 9552.132812, 8702.044922, 1155.181274,    4.131690, 8395.917969, 8696.773438, 8047.075195, 8336.349609,      5217,         1048576,000,001,000128
009,1372323840,    5234, 1750.151001,   20.000000, 9556.975586, 8683.597656, 1179.825439,    3.637920, 8377.525391, 8679.897461, 8040.272949, 8329.893555,      5235,         1048576,000,001,000128
010,1370488832,    5227, 1752.477661,   20.000000, 9580.366211, 8654.894531, 1192.105103,    3.632417, 8392.067383, 8651.206055, 8047.169922, 8302.284180,      5228,         1048576,000,001,000128
011,1374945280,    5244, 1752.330688,   20.000000, 9551.495117, 8688.459961, 1134.238770,    3.681493, 8416.537109, 8685.389648, 8083.139648, 8336.300781,      5244,         1048576,000,001,000128
012,1372061696,    5233, 1748.405273,   20.000000, 9588.162109, 8654.353516, 1188.640137,    3.573559, 8400.230469, 8650.520508, 8060.794922, 8296.993164,      5234,         1048576,000,001,000128
013,1370750976,    5228, 1749.189819,   20.000000, 9599.476562, 8642.090820, 1199.541504,    3.667640, 8399.150391, 8637.819336, 8053.189941, 8292.393555,      5228,         1048576,000,001,000128
014,1368129536,    5218, 1745.243042,   20.000000, 9585.875977, 8660.024414, 1215.342651,    3.655899, 8369.643555, 8655.736328, 8025.513672, 8308.134766,      5218,         1048576,000,001,000128
