tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate
006,00000000,00628432,00003916,010,00379252,00016408,00000000,001024,000,002,00001024,00316429,01,0000019577714556,00000000,00000000,004,002,016,016,1
007,00000000,00627675,00003165,010,00371877,00016424,00000000,001024,000,002,00001024,00316310,01,0000019542332501,00000000,00000000,004,002,016,016,1
008,00000000,00628476,00002934,010,00375577,00016130,00000000,001024,000,002,00001024,00316150,01,0000019421950737,00000000,00000000,004,002,016,016,1
009,00000000,00628116,00003214,010,00376152,00016233,00000000,001024,000,002,00001024,00315878,01,0000019748864317,00000000,00000000,004,002,016,016,1
010,00000000,00628436,00004663,010,00374287,00016293,00000000,001024,000,002,00001024,00316034,01,0000019355780032,00000000,00000000,004,002,016,016,1
011,00000000,00628036,00009010,010,00376009,00016300,00000000,001024,000,002,00001024,00316985,01,0000019337468801,00000000,00000000,004,002,016,016,1
012,00000000,00630177,00004852,010,00373976,00016206,00000000,001024,000,002,00001024,00316793,01,0000019143508364,00000000,00000000,004,002,016,016,1
013,00000000,00628983,00006090,010,00376425,00016111,00000000,001024,000,002,00001024,00316275,01,0000019334742230,00000000,00000000,004,002,016,016,1
014,00000000,00604929,00006332,010,00358079,00015627,00000000,001024,000,002,00001024,00304079,01,0000002154294464,00000000,00000000,004,002,016,016,1
015,00000000,00629259,00014918,010,00373440,00016140,00000000,001024,000,002,00001024,00316493,01,0000019145674121,00000000,00000000,004,002,016,016,1
000,00000000,00725442,00005072,010,00414364,00018826,00000000,001024,001,002,00001024,00365441,01,0000019576151650,00000000,00000000,004,002,016,016,1
001,00000000,00727330,00003450,010,00414942,00018877,00000000,001024,001,002,00001024,00365839,01,0000019934403952,00000000,00000000,004,002,016,016,1
002,00000000,00724395,00004459,010,00413059,00018948,00000000,001024,001,002,00001024,00364674,01,0000019475249645,00000000,00000000,004,002,016,016,1
003,00000000,00723850,00003244,010,00412012,00018817,00000000,001024,001,002,00001024,00363958,01,0000019811571670,00000000,00000000,004,002,016,016,1
004,00000000,00723204,00016085,010,00413104,00019081,00000000,001024,001,002,00001024,00363701,01,0000019926038633,00000000,00000000,004,002,016,016,1
005,00000000,00724756,00004048,010,00413684,00018888,00000000,001024,001,002,00001024,00364819,01,0000019547810171,00000000,00000000,004,002,016,016,1
006,00000000,00724481,00004661,010,00412469,00018804,00000000,001024,001,002,00001024,00364609,01,0000019553677486,00000000,00000000,004,002,016,016,1
007,00000000,00724305,00003697,010,00413359,00018672,00000000,001024,001,002,00001024,00364202,01,0000019404332056,00000000,00000000,004,002,016,016,1
008,00000000,00722582,00003328,010,00411038,00018771,00000000,001024,001,002,00001024,00363063,01,0000019523347979,00000000,00000000,004,002,016,016,1
009,00000000,00722383,00003852,010,00413228,00018902,00000000,001024,001,002,00001024,00363711,01,0000019779242783,00000000,00000000,004,002,016,016,1
010,00000000,00721393,00005376,010,00409228,00018770,00000000,001024,001,002,00001024,00362491,01,0000019696466484,00000000,00000000,004,002,016,016,1
011,00000000,00721725,00010407,010,00410457,00018888,00000000,001024,001,002,00001024,00363532,01,0000019365922169,00000000,00000000,004,002,016,016,1
012,00000000,00694756,00005412,010,00395519,00017825,00000000,001024,001,002,00001024,00349033,01,0000002090582679,00000000,00000000,004,002,016,016,1
013,00000000,00719739,00007086,010,00410076,00018813,00000000,001024,001,002,00001024,00362239,01,0000019329775276,00000000,00000000,004,002,016,016,1
014,00000000,00723211,00007436,010,00411443,00018837,00000000,001024,001,002,00001024,00364584,01,0000018851211204,00000000,00000000,004,002,016,016,1
015,00000000,00720556,00017169,010,00411910,00018899,00000000,001024,001,002,00001024,00362857,01,0000019127637969,00000000,00000000,004,002,016,016,1
000,00000000,00121697,00000875,010,00085969,00001855,00000000,001024,002,002,00001024,00061120,01,0000021535595144,00000000,00000000,004,002,016,016,1
001,00000000,00121202,00000611,010,00087762,00001859,00000000,001024,002,002,00001024,00061059,01,0000021606368138,00000000,00000000,004,002,016,016,1
002,00000000,00121417,00000752,010,00086846,00001889,00000000,001024,002,002,00001024,00060869,01,0000021113182731,00000000,00000000,004,002,016,016,1
003,00000000,00121854,00000528,010,00086651,00001877,00000000,001024,002,002,00001024,00060807,01,0000021617428571,00000000,00000000,004,002,016,016,1
004,00000000,00121856,00002687,010,00085673,00001827,00000000,001024,002,002,00001024,00060819,01,0000021628284231,00000000,00000000,004,002,016,016,1
005,00000000,00121655,00000635,010,00088172,00001734,00000000,001024,002,002,00001024,00061016,01,0000021289789043,00000000,00000000,004,002,016,016,1
006,00000000,00121436,00000802,010,00086133,00001927,00000000,001024,002,002,00001024,00060896,01,0000021123824582,00000000,00000000,004,002,016,016,1
007,00000000,00121609,00000620,010,00087181,00001825,00000000,001024,002,002,00001024,00060922,01,0000021155481264,00000000,00000000,004,002,016,016,1
008,00000000,00121887,00000549,010,00086367,00001792,00000000,001024,002,002,00001024,00060978,01,0000021108866312,00000000,00000000,004,002,016,016,1
009,00000000,00121930,00000623,010,00085973,00001788,00000000,001024,002,002,00001024,00061074,01,0000021165177185,00000000,00000000,004,002,016,016,1
010,00000000,00121889,00000933,010,00085818,00001818,00000000,001024,002,002,00001024,00060976,01,0000021545003182,00000000,00000000,004,002,016,016,1
011,00000000,00121486,00001779,010,00086583,00001826,00000000,001024,002,002,00001024,00061047,01,0000020292949592,00000000,00000000,004,002,016,016,1
012,00000000,00121708,00000901,010,00087088,00001841,00000000,001024,002,002,00001024,00060979,01,0000020125133967,00000000,00000000,004,002,016,016,1
013,00000000,00121626,00001200,010,00085447,00001849,00000000,001024,002,002,00001024,00060717,01,0000020552867087,00000000,00000000,004,002,016,016,1
014,00000000,00121604,00001267,010,00086465,00001819,00000000,001024,002,002,00001024,00061115,01,0000020052706926,00000000,00000000,004,002,016,016,1
015,00000000,00121680,00002855,010,00088030,00001903,00000000,001024,002,002,00001024,00060971,01,0000020151930026,00000000,00000000,004,002,016,016,1
000,00000000,00215671,00001525,010,00156737,00003446,00000000,001024,003,002,00001024,00108206,01,0000021627517563,00000000,00000000,004,002,016,016,1
001,00000000,00215810,00001051,010,00158007,00003397,00000000,001024,003,002,00001024,00107974,01,0000021749674168,00000000,00000000,004,002,016,016,1
002,00000000,00215999,00001274,010,00156586,00003350,00000000,001024,003,002,00001024,00108397,01,0000021269235120,00000000,00000000,004,002,016,016,1
003,00000000,00215416,00000976,010,00158667,00003351,00000000,001024,003,002,00001024,00108458,01,0000021819037635,00000000,00000000,004,002,016,016,1
004,00000000,00216069,00004863,010,00157583,00003288,00000000,001024,003,002,00001024,00108401,01,0000021788001883,00000000,00000000,004,002,016,016,1
005,00000000,00215732,00001201,010,00158395,00003387,00000000,001024,003,002,00001024,00108186,01,0000021288226762,00000000,00000000,004,002,016,016,1
