tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
023,00000000,00301589,020,00211657,00000000,00000000,001024,000,002,00016384,00152025
024,00000000,00293449,020,00206853,00000000,00000000,001024,000,002,00016384,00148133
025,00000000,00301783,020,00210471,00000000,00000000,001024,000,002,00016384,00152162
026,00000000,00299385,020,00208547,00000000,00000000,001024,000,002,00016384,00150967
027,00000000,00301089,020,00210428,00000000,00000000,001024,000,002,00016384,00151971
028,00000000,00301672,020,00210206,00000000,00000000,001024,000,002,00016384,00151900
029,00000000,00299917,020,00208874,00000000,00000000,001024,000,002,00016384,00151193
030,00000000,00301998,020,00210370,00000000,00000000,001024,000,002,00016384,00151951
031,00000000,00298915,020,00209611,00000000,00000000,001024,000,002,00016384,00150739
000,00000000,00685088,020,00484697,00000000,00000000,001024,001,002,00016384,00344615
001,00000000,00687421,020,00480196,00000000,00000000,001024,001,002,00016384,00344962
002,00000000,00683355,020,00481870,00000000,00000000,001024,001,002,00016384,00344438
003,00000000,00685455,020,00480114,00000000,00000000,001024,001,002,00016384,00344491
004,00000000,00690644,020,00482037,00000000,00000000,001024,001,002,00016384,00347273
005,00000000,00681189,020,00476919,00000000,00000000,001024,001,002,00016384,00342303
006,00000000,00682956,020,00480178,00000000,00000000,001024,001,002,00016384,00342922
007,00000000,00680911,020,00481525,00000000,00000000,001024,001,002,00016384,00343279
008,00000000,00684100,020,00478755,00000000,00000000,001024,001,002,00016384,00343971
009,00000000,00685010,020,00477812,00000000,00000000,001024,001,002,00016384,00344836
010,00000000,00682844,020,00477863,00000000,00000000,001024,001,002,00016384,00344206
011,00000000,00683968,020,00479016,00000000,00000000,001024,001,002,00016384,00343391
012,00000000,00680350,020,00477324,00000000,00000000,001024,001,002,00016384,00342103
013,00000000,00684593,020,00477627,00000000,00000000,001024,001,002,00016384,00344145
014,00000000,00682961,020,00478450,00000000,00000000,001024,001,002,00016384,00342838
015,00000000,00682398,020,00479222,00000000,00000000,001024,001,002,00016384,00343806
016,00000000,00680109,020,00477481,00000000,00000000,001024,001,002,00016384,00342819
017,00000000,00681956,020,00482515,00000000,00000000,001024,001,002,00016384,00342754
018,00000000,00685657,020,00480122,00000000,00000000,001024,001,002,00016384,00345183
