tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
001,00000000,00270248,00014450,010,00132397,00003200,00000997,001024,001,000,00000128,00135597,01,0000014783778067,00000000,00000000,002,001,016,016,0,0.99,050
002,00000000,00270213,00012411,010,00132599,00003134,00000969,001024,001,000,00000128,00135733,01,0000014533653725,00000000,00000000,002,001,016,016,0,0.99,050
003,00000000,00270270,00013509,010,00132132,00003120,00000942,001024,001,000,00000128,00135252,01,0000013724876815,00000000,00000000,002,001,016,016,0,0.99,050
004,00000000,00270320,00019815,010,00132006,00003237,00000958,001024,001,000,00000128,00135243,01,0000014550134710,00000000,00000000,002,001,016,016,0,0.99,050
005,00000000,00269962,00014604,010,00132656,00003114,00000942,001024,001,000,00000128,00135770,01,0000014552439500,00000000,00000000,002,001,016,016,0,0.99,050
006,00000000,00269889,00012930,010,00132610,00003118,00000921,001024,001,000,00000128,00135728,01,0000014751048985,00000000,00000000,002,001,016,016,0,0.99,050
007,00000000,00270340,00016085,010,00131914,00003254,00001031,001024,001,000,00000128,00135168,01,0000014517604611,00000000,00000000,002,001,016,016,0,0.99,050
008,00000000,00269930,00016530,010,00132355,00003175,00001019,001024,001,000,00000128,00135530,01,0000014540847718,00000000,00000000,002,001,016,016,0,0.99,050
009,00000000,00270244,00017800,010,00131961,00003160,00000941,001024,001,000,00000128,00135121,01,0000014534777032,00000000,00000000,002,001,016,016,0,0.99,050
010,00000000,00270326,00012404,010,00132598,00003076,00000965,001024,001,000,00000128,00135674,01,0000014508601567,00000000,00000000,002,001,016,016,0,0.99,050
011,00000000,00269832,00018626,010,00132296,00003114,00000941,001024,001,000,00000128,00135410,01,0000013740640846,00000000,00000000,002,001,016,016,0,0.99,050
012,00000000,00270221,00012998,010,00132513,00003206,00000976,001024,001,000,00000128,00135719,01,0000014585117952,00000000,00000000,002,001,016,016,0,0.99,050
013,00000000,00270157,00013783,010,00132515,00003143,00000986,001024,001,000,00000128,00135658,01,0000014523884148,00000000,00000000,002,001,016,016,0,0.99,050
014,00000000,00270353,00013808,010,00132516,00003151,00000961,001024,001,000,00000128,00135667,01,0000014514822338,00000000,00000000,002,001,016,016,0,0.99,050
015,00000000,00270946,00013341,010,00132410,00003114,00000939,001024,001,000,00000128,00135524,01,0000014565611906,00000000,00000000,002,001,016,016,0,0.99,050
000,00000000,00270131,00014053,010,00132476,00003175,00001026,001024,001,001,00000128,00135651,01,0000013985416974,00000000,00000000,002,001,016,016,0,0.99,050
