lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0002165,0000531,0001197,0021371,0011031,0010149,0001189,001024,001,002,00000128,01,004,004,016,016
0000000,0000521,0000070,0001004,0004568,0005060,0004288,0000011,001024,002,002,00000128,01,004,004,016,016
0000000,0002198,0000511,0001219,0020678,0010700,0009878,0001205,001024,002,002,00000128,01,004,004,016,016
0000000,0000531,0000070,0001004,0004568,0005029,0004248,0000011,001024,003,002,00000128,01,004,004,016,016
0000000,0002323,0000501,0001265,0020669,0010710,0009879,0001324,001024,003,002,00000128,01,004,004,016,016
0000000,0000541,0000080,0001017,0008746,0004909,0004177,0000010,001024,000,000,00000008,01,004,004,016,016
0000000,0003204,0000561,0001331,0020569,0010540,0009558,0002266,001024,000,000,00000008,01,004,004,016,016
0000000,0000581,0000180,0001017,0013305,0009528,0008737,0000011,001024,001,000,00000008,01,004,004,016,016
0000000,0003316,0000551,0001432,0021010,0010660,0009658,0002354,001024,001,000,00000008,01,004,004,016,016
0000000,0000541,0000080,0001017,0010540,0005079,0004197,0000010,001024,002,000,00000008,01,004,004,016,016
0000000,0003177,0000541,0001323,0020479,0010460,0009508,0002232,001024,002,000,00000008,01,004,004,016,016
0000000,0000541,0000081,0001017,0010550,0005079,0004198,0000011,001024,003,000,00000008,01,004,004,016,016
0000000,0003159,0000541,0001320,0020488,0010470,0009528,0002220,001024,003,000,00000008,01,004,004,016,016
0000000,0000551,0000160,0001017,0008777,0004849,0004148,0000011,001024,000,001,00000008,01,004,004,016,016
0000000,0002876,0000531,0001357,0020428,0010470,0009518,0001916,001024,000,001,00000008,01,004,004,016,016
0000000,0000551,0000160,0001017,0013596,0009548,0008756,0000011,001024,001,001,00000008,01,004,004,016,016
0000000,0002752,0000541,0001288,0021240,0010650,0009678,0001809,001024,001,001,00000008,01,004,004,016,016
0000000,0000561,0000170,0001017,0010509,0005039,0004188,0000011,001024,002,001,00000008,01,004,004,016,016
0000000,0002685,0000551,0001298,0020368,0010410,0009508,0001727,001024,002,001,00000008,01,004,004,016,016
0000000,0000561,0000161,0001017,0010490,0005049,0004188,0000011,001024,003,001,00000008,01,004,004,016,016
0000000,0002700,0000551,0001298,0020388,0010400,0009508,0001744,001024,003,001,00000008,01,004,004,016,016
0000000,0000531,0000080,0001016,0008746,0004849,0004148,0000011,001024,000,002,00000008,01,004,004,016,016
0000000,0002940,0000521,0001358,0020429,0010440,0009508,0001976,001024,000,002,00000008,01,004,004,016,016
0000000,0000541,0000080,0001017,0013295,0009548,0008756,0000011,001024,001,002,00000008,01,004,004,016,016
0000000,0002805,0000531,0001268,0021109,0010640,0009658,0001863,001024,001,002,00000008,01,004,004,016,016
0000000,0000541,0000080,0001014,0010449,0005029,0004188,0000011,001024,002,002,00000008,01,004,004,016,016
0000000,0002740,0000541,0001296,0020359,0010389,0009507,0001784,001024,002,002,00000008,01,004,004,016,016
0000000,0000541,0000080,0001014,0010460,0005039,0004188,0000011,001024,003,002,00000008,01,004,004,016,016
0000000,0002749,0000531,0001300,0020358,0010370,0009498,0001792,001024,003,002,00000008,01,004,004,016,016
