tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
014,00000000,01112543,00280064,010,00559703,00000000,00000000,001024,000,001,00000128,00559154,01,0000018370601029,00000000,00000000,001,004,016,016
015,00000000,01121174,00353291,010,00562711,00000000,00000000,001024,000,001,00000128,00562175,01,0000018871734223,00000000,00000000,001,004,016,016
000,00000000,01120489,00374781,010,00563146,00000000,00000000,001024,000,002,00000128,00562618,01,0000017912648071,00000000,00000000,001,004,016,016
001,00000000,01127233,00210583,010,00566861,00000000,00000000,001024,000,002,00000128,00566345,01,0000018834549255,00000000,00000000,001,004,016,016
002,00000000,01116786,00258731,010,00561681,00000000,00000000,001024,000,002,00000128,00561115,01,0000018559520492,00000000,00000000,001,004,016,016
003,00000000,01109687,00247485,010,00557505,00000000,00000000,001024,000,002,00000128,00556996,01,0000017946590959,00000000,00000000,001,004,016,016
004,00000000,01107604,00264449,010,00557274,00000000,00000000,001024,000,002,00000128,00556764,01,0000018150262432,00000000,00000000,001,004,016,016
005,00000000,01101222,00522360,010,00554332,00000000,00000000,001024,000,002,00000128,00553800,01,0000018703274186,00000000,00000000,001,004,016,016
006,00000000,01106746,00214934,010,00557038,00000000,00000000,001024,000,002,00000128,00556505,01,0000018591890686,00000000,00000000,001,004,016,016
007,00000000,01106241,00236866,010,00556877,00000000,00000000,001024,000,002,00000128,00556296,01,0000018522055104,00000000,00000000,001,004,016,016
008,00000000,01105673,00231440,010,00554985,00000000,00000000,001024,000,002,00000128,00554468,01,0000018149210124,00000000,00000000,001,004,016,016
009,00000000,01098238,00687954,010,00552850,00000000,00000000,001024,000,002,00000128,00552297,01,0000018084692955,00000000,00000000,001,004,016,016
010,00000000,01101607,00273961,010,00554667,00000000,00000000,001024,000,002,00000128,00554185,01,0000018316105217,00000000,00000000,001,004,016,016
011,00000000,01108381,00250425,010,00558003,00000000,00000000,001024,000,002,00000128,00557519,01,0000018033816690,00000000,00000000,001,004,016,016
012,00000000,01099189,00236620,010,00553135,00000000,00000000,001024,000,002,00000128,00552613,01,0000018030469405,00000000,00000000,001,004,016,016
013,00000000,01048651,00210657,010,00528517,00000000,00000000,001024,000,002,00000128,00528030,01,0000002010747820,00000000,00000000,001,004,016,016
014,00000000,01106025,00243142,010,00556444,00000000,00000000,001024,000,002,00000128,00555922,01,0000017938547161,00000000,00000000,001,004,016,016
015,00000000,01106032,00243531,010,00557524,00000000,00000000,001024,000,002,00000128,00557010,01,0000018199308809,00000000,00000000,001,004,016,016
000,00000000,01300529,00018467,010,00653180,00000000,00000000,001024,000,000,00001024,00653145,01,0000021601749651,00000000,00000000,001,002,016,016
001,00000000,01300978,00013742,010,00654055,00000000,00000000,001024,000,000,00001024,00654009,01,0000021807415822,00000000,00000000,001,002,016,016
002,00000000,01296962,00014237,010,00650803,00000000,00000000,001024,000,000,00001024,00650763,01,0000021894699818,00000000,00000000,001,002,016,016
003,00000000,01279433,00014388,010,00643242,00000000,00000000,001024,000,000,00001024,00643198,01,0000022064360690,00000000,00000000,001,002,016,016
004,00000000,01276309,00037914,010,00641600,00000000,00000000,001024,000,000,00001024,00641553,01,0000021201964150,00000000,00000000,001,002,016,016
005,00000000,01279630,00012570,010,00641804,00000000,00000000,001024,000,000,00001024,00641756,01,0000021364491443,00000000,00000000,001,002,016,016
