tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
004,00000000,00105804,010,00052848,00000000,00000000,001024,002,001,00016384,00052848,02,0000000005351897,00003275
005,00000000,00094789,010,00047244,00000000,00000000,001024,002,001,00016384,00047244,02,0000000007209138,00002996
006,00000000,00094453,010,00047423,00000000,00000000,001024,002,001,00016384,00047423,02,0000000007497390,00003037
007,00000000,00106354,010,00053451,00000000,00000000,001024,002,001,00016384,00053451,02,0000000005188255,00003279
008,00000000,00096837,010,00048501,00000000,00000000,001024,002,001,00016384,00048501,02,0000000007778076,00003003
009,00000000,00094979,010,00047953,00000000,00000000,001024,002,001,00016384,00047953,02,0000000008028816,00003091
010,00000000,00105537,010,00052995,00000000,00000000,001024,002,001,00016384,00052995,02,0000000006179030,00003226
011,00000000,00104438,010,00052227,00000000,00000000,001024,002,001,00016384,00052227,02,0000000005472239,00003296
012,00000000,00094067,010,00047080,00000000,00000000,001024,002,001,00016384,00047080,02,0000000007843353,00003037
013,00000000,00103082,010,00051865,00000000,00000000,001024,002,001,00016384,00051865,02,0000000005405394,00003331
014,00000000,00095874,010,00048044,00000000,00000000,001024,002,001,00016384,00048044,02,0000000007829323,00003047
015,00000000,00105427,010,00052670,00000000,00000000,001024,002,001,00016384,00052670,02,0000000005077847,00003286
016,00000000,00101131,010,00050706,00000000,00000000,001024,002,001,00016384,00050706,02,0000000007849519,00003109
017,00000000,00103339,010,00051650,00000000,00000000,001024,002,001,00016384,00051650,02,0000000005903227,00003275
018,00000000,00104798,010,00052645,00000000,00000000,001024,002,001,00016384,00052645,02,0000000005816038,00003334
019,00000000,00106556,010,00053343,00000000,00000000,001024,002,001,00016384,00053343,02,0000000005589116,00003243
020,00000000,00099330,010,00049927,00000000,00000000,001024,002,001,00016384,00049927,02,0000000007969293,00003115
021,00000000,00098964,010,00049879,00000000,00000000,001024,002,001,00016384,00049879,02,0000000007854197,00003132
022,00000000,00100121,010,00050241,00000000,00000000,001024,002,001,00016384,00050241,02,0000000007526451,00003081
023,00000000,00105113,010,00052873,00000000,00000000,001024,002,001,00016384,00052873,02,0000000006040024,00003310
024,00000000,00097939,010,00049362,00000000,00000000,001024,002,001,00016384,00049362,02,0000000007769054,00003118
025,00000000,00105366,010,00052785,00000000,00000000,001024,002,001,00016384,00052785,02,0000000006542673,00003270
026,00000000,00097981,010,00049187,00000000,00000000,001024,002,001,00016384,00049187,02,0000000008391926,00003086
027,00000000,00103467,010,00051910,00000000,00000000,001024,002,001,00016384,00051910,02,0000000005015906,00003310
028,00000000,00098950,010,00049411,00000000,00000000,001024,002,001,00016384,00049411,02,0000000008413414,00003091
029,00000000,00104606,010,00052576,00000000,00000000,001024,002,001,00016384,00052576,02,0000000005424884,00003324
030,00000000,00096897,010,00048664,00000000,00000000,001024,002,001,00016384,00048664,02,0000000008178341,00003130
031,00000000,00105530,010,00052892,00000000,00000000,001024,002,001,00016384,00052892,02,0000000004736257,00003285
